PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_IDGRUPOCONTROL;REQUIREMENTS_ATTRIBUTES_MARCO;REQUIREMENTS_ATTRIBUTES_CATEGORIA;REQUIREMENTS_ATTRIBUTES_DESCRIPCIONCONTROL;REQUIREMENTS_ATTRIBUTES_NIVEL;REQUIREMENTS_ATTRIBUTES_TIPO;REQUIREMENTS_ATTRIBUTES_DIMENSIONES;REQUIREMENTS_ATTRIBUTES_MODOEJECUCION;REQUIREMENTS_ATTRIBUTES_DEPENDENCIAS;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;858573892697;us-east-1;2026-09-19 09:30:34.148196;op.exp.8.r4.aws.ct.2;Control de acceso;op.exp.8.r4;operacional;explotación;Utilizar una política de bucket para restringir el acceso de forma pública e imponer restricciones sobre cuáles de los usuarios pueden eliminar objetos de Amazon S3.;alto;refuerzo;trazabilidad;automático;;PASS;S3 Bucket aws-cloudtrail-logs-858573892697-969e040d from multiregion trail vaultcloud-trail is not publicly accessible.;arn:aws:cloudtrail:us-east-1:858573892697:trail/vaultcloud-trail;cloudtrail_logs_s3_bucket_is_not_publicly_accessible;False;vaultcloud-trail;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;858573892697;us-east-1;2026-09-19 09:30:34.148196;op.exp.8.r4.aws.ct.6;Control de acceso;op.exp.8.r4;operacional;explotación;El almacén de logs de CloudTrail no debería ser accesible de forma pública  (ACLs);alto;refuerzo;trazabilidad;automático;;PASS;S3 Bucket aws-cloudtrail-logs-858573892697-969e040d from multiregion trail vaultcloud-trail is not publicly accessible.;arn:aws:cloudtrail:us-east-1:858573892697:trail/vaultcloud-trail;cloudtrail_logs_s3_bucket_is_not_publicly_accessible;False;vaultcloud-trail;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;858573892697;ap-northeast-1;2026-09-19 09:30:34.148196;op.acc.6.r5.aws.iam.1;Registro;op.acc.6.r5;operacional;control de acceso;Para registrar los intentos de acceso, se deberá habilitar CloudTrail en todas las regiones y activar el registro de acceso de usuarios.;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad;automático;;PASS;Trail vaultcloud-trail is multiregion and it is logging.;arn:aws:cloudtrail:us-east-1:858573892697:trail/vaultcloud-trail;cloudtrail_multi_region_enabled;False;vaultcloud-trail;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;858573892697;ap-northeast-1;2026-09-19 09:30:34.148196;op.exp.5.aws.ct.1;Gestión de cambios;op.exp.5;operacional;explotación;Asegurar que CloudTrail esté activo para todas las regiones.;alto;recomendacion;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;PASS;Trail vaultcloud-trail is multiregion and it is logging.;arn:aws:cloudtrail:us-east-1:858573892697:trail/vaultcloud-trail;cloudtrail_multi_region_enabled;False;vaultcloud-trail;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;858573892697;ap-northeast-1;2026-09-19 09:30:34.148196;op.exp.8.aws.ct.1;Registro de actividad;op.exp.8;operacional;explotación;Habilitar la herramienta CloudTrail en todas las regiones. Este serviio está habilitado por defecto cuando se crea una nueva cuenta, pero es posible deshabilitarlo.;alto;requisito;trazabilidad;automático;;PASS;Trail vaultcloud-trail is multiregion and it is logging.;arn:aws:cloudtrail:us-east-1:858573892697:trail/vaultcloud-trail;cloudtrail_multi_region_enabled;False;vaultcloud-trail;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;858573892697;ap-northeast-1;2026-09-19 09:30:34.148196;op.exp.8.aws.ct.6;Registro de actividad;op.exp.8;operacional;explotación;Activar el servicio de AWS CloudTrail para registrar la actividad de los usuarios relativa a la configuración de los servicios VPN Site-to-Site y AWS DirectConnect;alto;medida;trazabilidad;automático;;PASS;Trail vaultcloud-trail is multiregion and it is logging.;arn:aws:cloudtrail:us-east-1:858573892697:trail/vaultcloud-trail;cloudtrail_multi_region_enabled;False;vaultcloud-trail;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;858573892697;ap-northeast-1;2026-09-19 09:30:34.148196;op.exp.9.aws.ct.1;Registro de la gestión de incidentes;op.exp.9;operacional;explotación;Habilitar AWS Incident Manager y AWS CloudTrail en todas las regiones con el fin de recopilar información para generar contenido prescriptivo para la creación de informes exigidos por la medida de seguridad.;alto;recomendacion;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;PASS;Trail vaultcloud-trail is multiregion and it is logging.;arn:aws:cloudtrail:us-east-1:858573892697:trail/vaultcloud-trail;cloudtrail_multi_region_enabled;False;vaultcloud-trail;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;858573892697;ap-northeast-1;2026-09-19 09:30:34.148196;op.mon.1.aws.ct.1;Detección de intrusión;op.mon.1;operacional;monitorización del sistema;Activar el servicio de eventos AWS CloudTrail para todas las regiones.;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;PASS;Trail vaultcloud-trail is multiregion and it is logging.;arn:aws:cloudtrail:us-east-1:858573892697:trail/vaultcloud-trail;cloudtrail_multi_region_enabled;False;vaultcloud-trail;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;858573892697;ap-northeast-2;2026-09-19 09:30:34.148196;op.acc.6.r5.aws.iam.1;Registro;op.acc.6.r5;operacional;control de acceso;Para registrar los intentos de acceso, se deberá habilitar CloudTrail en todas las regiones y activar el registro de acceso de usuarios.;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad;automático;;PASS;Trail vaultcloud-trail is multiregion and it is logging.;arn:aws:cloudtrail:us-east-1:858573892697:trail/vaultcloud-trail;cloudtrail_multi_region_enabled;False;vaultcloud-trail;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;858573892697;ap-northeast-2;2026-09-19 09:30:34.148196;op.exp.5.aws.ct.1;Gestión de cambios;op.exp.5;operacional;explotación;Asegurar que CloudTrail esté activo para todas las regiones.;alto;recomendacion;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;PASS;Trail vaultcloud-trail is multiregion and it is logging.;arn:aws:cloudtrail:us-east-1:858573892697:trail/vaultcloud-trail;cloudtrail_multi_region_enabled;False;vaultcloud-trail;ENS;ENS RD 311/2022 - Categoría Alta
