PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_FAMILYNAME;REQUIREMENTS_ATTRIBUTES_FAMILYDESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTIONOBJECTIVE;REQUIREMENTS_ATTRIBUTES_APPLICABILITY;REQUIREMENTS_ATTRIBUTES_RECOMMENDATION;REQUIREMENTS_ATTRIBUTES_SECTIONTHREATMAPPINGS;REQUIREMENTS_ATTRIBUTES_SECTIONGUIDELINEMAPPINGS;STATUS;STATUSEXTENDED;RESOURCEID;RESOURCENAME;CHECKID;MUTED
aws;Common Cloud Controls Catalog (CCC) for AWS;987292390922;ap-northeast-3;2026-09-13 17:05:55.304157;CCC.GenAI.CN05.AR01;When a RAG-enabled system generates a response containing information retrieved from its knowledge base, then the response MUST include a verifiable citation that links back to the specific source document.;Data;The Data control family ensures the confidentiality, integrity, availability, and sovereignty of data across its lifecycle. These controls govern how data is transmitted, stored, replicated, and protected from unauthorized access, tampering, or exposure beyond defined trust perimeters.;CCC.GenAI.CN05 Citations and Source Traceability;;Require the GenAI system to provide citations or direct links back to the source documents used to generate a response, in to enhance the transparency, trustworthiness, and verifiability of AI-generated content.;['tlp-clear', 'tlp-green', 'tlp-amber', 'tlp-red'];;[{'ReferenceId': 'CCC', 'Identifiers': ['CCC.GenAI.TH09', 'CCC.GenAI.TH04']}];[{'ReferenceId': 'FINOS-AIGF', 'Identifiers': ['AIR-DET-013']}];FAIL;Bedrock Model Invocation Logging is disabled.;arn:aws:bedrock:ap-northeast-3:987292390922:model-invocation-logging;model-invocation-logging;bedrock_model_invocation_logging_enabled;False
aws;Common Cloud Controls Catalog (CCC) for AWS;987292390922;ap-south-1;2026-09-13 17:05:55.304157;CCC.GenAI.CN05.AR01;When a RAG-enabled system generates a response containing information retrieved from its knowledge base, then the response MUST include a verifiable citation that links back to the specific source document.;Data;The Data control family ensures the confidentiality, integrity, availability, and sovereignty of data across its lifecycle. These controls govern how data is transmitted, stored, replicated, and protected from unauthorized access, tampering, or exposure beyond defined trust perimeters.;CCC.GenAI.CN05 Citations and Source Traceability;;Require the GenAI system to provide citations or direct links back to the source documents used to generate a response, in to enhance the transparency, trustworthiness, and verifiability of AI-generated content.;['tlp-clear', 'tlp-green', 'tlp-amber', 'tlp-red'];;[{'ReferenceId': 'CCC', 'Identifiers': ['CCC.GenAI.TH09', 'CCC.GenAI.TH04']}];[{'ReferenceId': 'FINOS-AIGF', 'Identifiers': ['AIR-DET-013']}];FAIL;Bedrock Model Invocation Logging is disabled.;arn:aws:bedrock:ap-south-1:987292390922:model-invocation-logging;model-invocation-logging;bedrock_model_invocation_logging_enabled;False
aws;Common Cloud Controls Catalog (CCC) for AWS;987292390922;ap-southeast-2;2026-09-13 17:05:55.304157;CCC.GenAI.CN05.AR01;When a RAG-enabled system generates a response containing information retrieved from its knowledge base, then the response MUST include a verifiable citation that links back to the specific source document.;Data;The Data control family ensures the confidentiality, integrity, availability, and sovereignty of data across its lifecycle. These controls govern how data is transmitted, stored, replicated, and protected from unauthorized access, tampering, or exposure beyond defined trust perimeters.;CCC.GenAI.CN05 Citations and Source Traceability;;Require the GenAI system to provide citations or direct links back to the source documents used to generate a response, in to enhance the transparency, trustworthiness, and verifiability of AI-generated content.;['tlp-clear', 'tlp-green', 'tlp-amber', 'tlp-red'];;[{'ReferenceId': 'CCC', 'Identifiers': ['CCC.GenAI.TH09', 'CCC.GenAI.TH04']}];[{'ReferenceId': 'FINOS-AIGF', 'Identifiers': ['AIR-DET-013']}];FAIL;Bedrock Model Invocation Logging is disabled.;arn:aws:bedrock:ap-southeast-2:987292390922:model-invocation-logging;model-invocation-logging;bedrock_model_invocation_logging_enabled;False
aws;Common Cloud Controls Catalog (CCC) for AWS;987292390922;ca-central-1;2026-09-13 17:05:55.304157;CCC.GenAI.CN05.AR01;When a RAG-enabled system generates a response containing information retrieved from its knowledge base, then the response MUST include a verifiable citation that links back to the specific source document.;Data;The Data control family ensures the confidentiality, integrity, availability, and sovereignty of data across its lifecycle. These controls govern how data is transmitted, stored, replicated, and protected from unauthorized access, tampering, or exposure beyond defined trust perimeters.;CCC.GenAI.CN05 Citations and Source Traceability;;Require the GenAI system to provide citations or direct links back to the source documents used to generate a response, in to enhance the transparency, trustworthiness, and verifiability of AI-generated content.;['tlp-clear', 'tlp-green', 'tlp-amber', 'tlp-red'];;[{'ReferenceId': 'CCC', 'Identifiers': ['CCC.GenAI.TH09', 'CCC.GenAI.TH04']}];[{'ReferenceId': 'FINOS-AIGF', 'Identifiers': ['AIR-DET-013']}];FAIL;Bedrock Model Invocation Logging is disabled.;arn:aws:bedrock:ca-central-1:987292390922:model-invocation-logging;model-invocation-logging;bedrock_model_invocation_logging_enabled;False
aws;Common Cloud Controls Catalog (CCC) for AWS;987292390922;eu-central-1;2026-09-13 17:05:55.304157;CCC.GenAI.CN05.AR01;When a RAG-enabled system generates a response containing information retrieved from its knowledge base, then the response MUST include a verifiable citation that links back to the specific source document.;Data;The Data control family ensures the confidentiality, integrity, availability, and sovereignty of data across its lifecycle. These controls govern how data is transmitted, stored, replicated, and protected from unauthorized access, tampering, or exposure beyond defined trust perimeters.;CCC.GenAI.CN05 Citations and Source Traceability;;Require the GenAI system to provide citations or direct links back to the source documents used to generate a response, in to enhance the transparency, trustworthiness, and verifiability of AI-generated content.;['tlp-clear', 'tlp-green', 'tlp-amber', 'tlp-red'];;[{'ReferenceId': 'CCC', 'Identifiers': ['CCC.GenAI.TH09', 'CCC.GenAI.TH04']}];[{'ReferenceId': 'FINOS-AIGF', 'Identifiers': ['AIR-DET-013']}];FAIL;Bedrock Model Invocation Logging is disabled.;arn:aws:bedrock:eu-central-1:987292390922:model-invocation-logging;model-invocation-logging;bedrock_model_invocation_logging_enabled;False
aws;Common Cloud Controls Catalog (CCC) for AWS;987292390922;eu-west-1;2026-09-13 17:05:55.304157;CCC.GenAI.CN05.AR01;When a RAG-enabled system generates a response containing information retrieved from its knowledge base, then the response MUST include a verifiable citation that links back to the specific source document.;Data;The Data control family ensures the confidentiality, integrity, availability, and sovereignty of data across its lifecycle. These controls govern how data is transmitted, stored, replicated, and protected from unauthorized access, tampering, or exposure beyond defined trust perimeters.;CCC.GenAI.CN05 Citations and Source Traceability;;Require the GenAI system to provide citations or direct links back to the source documents used to generate a response, in to enhance the transparency, trustworthiness, and verifiability of AI-generated content.;['tlp-clear', 'tlp-green', 'tlp-amber', 'tlp-red'];;[{'ReferenceId': 'CCC', 'Identifiers': ['CCC.GenAI.TH09', 'CCC.GenAI.TH04']}];[{'ReferenceId': 'FINOS-AIGF', 'Identifiers': ['AIR-DET-013']}];FAIL;Bedrock Model Invocation Logging is disabled.;arn:aws:bedrock:eu-west-1:987292390922:model-invocation-logging;model-invocation-logging;bedrock_model_invocation_logging_enabled;False
aws;Common Cloud Controls Catalog (CCC) for AWS;987292390922;eu-west-2;2026-09-13 17:05:55.304157;CCC.GenAI.CN05.AR01;When a RAG-enabled system generates a response containing information retrieved from its knowledge base, then the response MUST include a verifiable citation that links back to the specific source document.;Data;The Data control family ensures the confidentiality, integrity, availability, and sovereignty of data across its lifecycle. These controls govern how data is transmitted, stored, replicated, and protected from unauthorized access, tampering, or exposure beyond defined trust perimeters.;CCC.GenAI.CN05 Citations and Source Traceability;;Require the GenAI system to provide citations or direct links back to the source documents used to generate a response, in to enhance the transparency, trustworthiness, and verifiability of AI-generated content.;['tlp-clear', 'tlp-green', 'tlp-amber', 'tlp-red'];;[{'ReferenceId': 'CCC', 'Identifiers': ['CCC.GenAI.TH09', 'CCC.GenAI.TH04']}];[{'ReferenceId': 'FINOS-AIGF', 'Identifiers': ['AIR-DET-013']}];FAIL;Bedrock Model Invocation Logging is disabled.;arn:aws:bedrock:eu-west-2:987292390922:model-invocation-logging;model-invocation-logging;bedrock_model_invocation_logging_enabled;False
aws;Common Cloud Controls Catalog (CCC) for AWS;987292390922;eu-west-3;2026-09-13 17:05:55.304157;CCC.GenAI.CN05.AR01;When a RAG-enabled system generates a response containing information retrieved from its knowledge base, then the response MUST include a verifiable citation that links back to the specific source document.;Data;The Data control family ensures the confidentiality, integrity, availability, and sovereignty of data across its lifecycle. These controls govern how data is transmitted, stored, replicated, and protected from unauthorized access, tampering, or exposure beyond defined trust perimeters.;CCC.GenAI.CN05 Citations and Source Traceability;;Require the GenAI system to provide citations or direct links back to the source documents used to generate a response, in to enhance the transparency, trustworthiness, and verifiability of AI-generated content.;['tlp-clear', 'tlp-green', 'tlp-amber', 'tlp-red'];;[{'ReferenceId': 'CCC', 'Identifiers': ['CCC.GenAI.TH09', 'CCC.GenAI.TH04']}];[{'ReferenceId': 'FINOS-AIGF', 'Identifiers': ['AIR-DET-013']}];FAIL;Bedrock Model Invocation Logging is disabled.;arn:aws:bedrock:eu-west-3:987292390922:model-invocation-logging;model-invocation-logging;bedrock_model_invocation_logging_enabled;False
aws;Common Cloud Controls Catalog (CCC) for AWS;987292390922;sa-east-1;2026-09-13 17:05:55.304157;CCC.GenAI.CN05.AR01;When a RAG-enabled system generates a response containing information retrieved from its knowledge base, then the response MUST include a verifiable citation that links back to the specific source document.;Data;The Data control family ensures the confidentiality, integrity, availability, and sovereignty of data across its lifecycle. These controls govern how data is transmitted, stored, replicated, and protected from unauthorized access, tampering, or exposure beyond defined trust perimeters.;CCC.GenAI.CN05 Citations and Source Traceability;;Require the GenAI system to provide citations or direct links back to the source documents used to generate a response, in to enhance the transparency, trustworthiness, and verifiability of AI-generated content.;['tlp-clear', 'tlp-green', 'tlp-amber', 'tlp-red'];;[{'ReferenceId': 'CCC', 'Identifiers': ['CCC.GenAI.TH09', 'CCC.GenAI.TH04']}];[{'ReferenceId': 'FINOS-AIGF', 'Identifiers': ['AIR-DET-013']}];FAIL;Bedrock Model Invocation Logging is disabled.;arn:aws:bedrock:sa-east-1:987292390922:model-invocation-logging;model-invocation-logging;bedrock_model_invocation_logging_enabled;False
aws;Common Cloud Controls Catalog (CCC) for AWS;987292390922;us-east-1;2026-09-13 17:05:55.304157;CCC.GenAI.CN05.AR01;When a RAG-enabled system generates a response containing information retrieved from its knowledge base, then the response MUST include a verifiable citation that links back to the specific source document.;Data;The Data control family ensures the confidentiality, integrity, availability, and sovereignty of data across its lifecycle. These controls govern how data is transmitted, stored, replicated, and protected from unauthorized access, tampering, or exposure beyond defined trust perimeters.;CCC.GenAI.CN05 Citations and Source Traceability;;Require the GenAI system to provide citations or direct links back to the source documents used to generate a response, in to enhance the transparency, trustworthiness, and verifiability of AI-generated content.;['tlp-clear', 'tlp-green', 'tlp-amber', 'tlp-red'];;[{'ReferenceId': 'CCC', 'Identifiers': ['CCC.GenAI.TH09', 'CCC.GenAI.TH04']}];[{'ReferenceId': 'FINOS-AIGF', 'Identifiers': ['AIR-DET-013']}];FAIL;Bedrock Model Invocation Logging is disabled.;arn:aws:bedrock:us-east-1:987292390922:model-invocation-logging;model-invocation-logging;bedrock_model_invocation_logging_enabled;False
aws;Common Cloud Controls Catalog (CCC) for AWS;987292390922;us-east-2;2026-09-13 17:05:55.304157;CCC.GenAI.CN05.AR01;When a RAG-enabled system generates a response containing information retrieved from its knowledge base, then the response MUST include a verifiable citation that links back to the specific source document.;Data;The Data control family ensures the confidentiality, integrity, availability, and sovereignty of data across its lifecycle. These controls govern how data is transmitted, stored, replicated, and protected from unauthorized access, tampering, or exposure beyond defined trust perimeters.;CCC.GenAI.CN05 Citations and Source Traceability;;Require the GenAI system to provide citations or direct links back to the source documents used to generate a response, in to enhance the transparency, trustworthiness, and verifiability of AI-generated content.;['tlp-clear', 'tlp-green', 'tlp-amber', 'tlp-red'];;[{'ReferenceId': 'CCC', 'Identifiers': ['CCC.GenAI.TH09', 'CCC.GenAI.TH04']}];[{'ReferenceId': 'FINOS-AIGF', 'Identifiers': ['AIR-DET-013']}];FAIL;Bedrock Model Invocation Logging is disabled.;arn:aws:bedrock:us-east-2:987292390922:model-invocation-logging;model-invocation-logging;bedrock_model_invocation_logging_enabled;False
aws;Common Cloud Controls Catalog (CCC) for AWS;987292390922;us-west-1;2026-09-13 17:05:55.304157;CCC.GenAI.CN05.AR01;When a RAG-enabled system generates a response containing information retrieved from its knowledge base, then the response MUST include a verifiable citation that links back to the specific source document.;Data;The Data control family ensures the confidentiality, integrity, availability, and sovereignty of data across its lifecycle. These controls govern how data is transmitted, stored, replicated, and protected from unauthorized access, tampering, or exposure beyond defined trust perimeters.;CCC.GenAI.CN05 Citations and Source Traceability;;Require the GenAI system to provide citations or direct links back to the source documents used to generate a response, in to enhance the transparency, trustworthiness, and verifiability of AI-generated content.;['tlp-clear', 'tlp-green', 'tlp-amber', 'tlp-red'];;[{'ReferenceId': 'CCC', 'Identifiers': ['CCC.GenAI.TH09', 'CCC.GenAI.TH04']}];[{'ReferenceId': 'FINOS-AIGF', 'Identifiers': ['AIR-DET-013']}];FAIL;Bedrock Model Invocation Logging is disabled.;arn:aws:bedrock:us-west-1:987292390922:model-invocation-logging;model-invocation-logging;bedrock_model_invocation_logging_enabled;False
aws;Common Cloud Controls Catalog (CCC) for AWS;987292390922;us-east-1;2026-09-13 17:05:55.304157;CCC.AuditLog.CN02.AR01;When a manual action is performed to generate each audit log type, then the corresponding audit log type MUST be generated and recorded.;Integrity;Controls designed to protected the integrity of Audit Log data.;CCC.AuditLog.CN02 Enable And Validate All Audit Log Types;;Review audit log configuration and ensure that all audit log types are being generated and replicated to configured sinks;['tlp-red', 'tlp-amber'];Review audit log configuration;[{'ReferenceId': 'CCC', 'Identifiers': ['CCC.Core.TH06']}];[{'ReferenceId': 'NIST-CSF', 'Identifiers': ['PR.PS-04']}, {'ReferenceId': 'NIST_800_53', 'Identifiers': ['AU-2', 'AU-3', 'AU-12']}];FAIL;No CloudTrail trails are configured to log Amazon Bedrock API calls.;arn:aws:cloudtrail:us-east-1:987292390922:trail;987292390922;cloudtrail_bedrock_logging_enabled;False
aws;Common Cloud Controls Catalog (CCC) for AWS;987292390922;af-south-1;2026-09-13 17:05:55.304157;CCC.Core.CN09.AR02;When the service is operational, disabling the logs for the service or its child resources MUST NOT be possible without also disabling the corresponding resource.;Data;The Data control family ensures the confidentiality, integrity, availability, and sovereignty of data across its lifecycle. These controls govern how data is transmitted, stored, replicated, and protected from unauthorized access, tampering, or exposure beyond defined trust perimeters.;CCC.Core.CN09 Ensure Integrity of Access Logs;;Ensure that access logs are always recorded to an external location that cannot be manipulated from the context of the service(s) it contains logs for.;['tlp-clear', 'tlp-green', 'tlp-amber', 'tlp-red'];No normal business operations should disable logs, as this could indicate an attempt to cover up unauthorized access. Ensure that logging mechanisms are tightly integrated with service operations, so that logging cannot be disabled without stopping the service itself.;[{'ReferenceId': 'CCC', 'Identifiers': ['CCC.Core.TH07', 'CCC.Core.TH09', 'CCC.Core.TH04']}];[{'ReferenceId': 'CCM', 'Identifiers': ['LOG-02', 'LOG-04', 'LOG-09']}];FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:af-south-1:987292390922:trail;987292390922;cloudtrail_multi_region_enabled;False
aws;Common Cloud Controls Catalog (CCC) for AWS;987292390922;af-south-1;2026-09-13 17:05:55.304157;CCC.Core.CN04.AR01;When administrative access or configuration change is attempted on the service or a child resource, the service MUST log the client identity, time, and result of the attempt.;Logging and Monitoring;The Logging & Monitoring control family ensures that access, changes, and security-relevant events are captured, monitored, and alerted on in order to provide visibility, support incident response, and meet compliance requirements.;CCC.Core.CN04 Log All Access and Changes;;Ensure that all access attempts are logged to maintain a detailed audit trail for security and compliance purposes.;['tlp-clear', 'tlp-green', 'tlp-amber', 'tlp-red'];;[{'ReferenceId': 'CCC', 'Identifiers': ['CCC.Core.TH01']}];[{'ReferenceId': 'CCM', 'Identifiers': ['LOG-08']}];FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:af-south-1:987292390922:trail;987292390922;cloudtrail_multi_region_enabled;False
aws;Common Cloud Controls Catalog (CCC) for AWS;987292390922;af-south-1;2026-09-13 17:05:55.304157;CCC.Core.CN04.AR03;When any attempt is made to read data on the service or a child resource, the service MUST log the client identity, time, and result of the attempt.;Logging and Monitoring;The Logging & Monitoring control family ensures that access, changes, and security-relevant events are captured, monitored, and alerted on in order to provide visibility, support incident response, and meet compliance requirements.;CCC.Core.CN04 Log All Access and Changes;;Ensure that all access attempts are logged to maintain a detailed audit trail for security and compliance purposes.;['tlp-red'];;[{'ReferenceId': 'CCC', 'Identifiers': ['CCC.Core.TH01']}];[{'ReferenceId': 'CCM', 'Identifiers': ['LOG-08']}];FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:af-south-1:987292390922:trail;987292390922;cloudtrail_multi_region_enabled;False
